paper_dir,step1_label,final_label,final_dims,ocr_dims,task_dims,task_csv_dims,task_md_dims,dimension_source,confidence,ocr_evidence,task_evidence,notes
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Modular Exponentiation with Transformers,transformer_yes,1D_only,1D,,1D,,1D,task_md_fallback,medium,,"TASK-DOMAINS.md:7:| prediction (modular exponentiation) | tokens (base-B digits for a,b,c) (inferred) | 1D (t) (inferred) | Fixed (inferred) | Static (inferred) | Constructed (inferred)...",task_csv_present_but_no_dims_parsed
BIBLIOTHEQUE/05_ML-FNDTNS/Learning to summarize from human feedback,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Transferable Visual Models From Natural Language Supervision,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:out_dimension=2D (x, y); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Length Extrapolation of Transformers- A Survey from the Perspective of Positional Encoding,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Length Generalization of Causal Transformers without Position Encoding,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Let's Verify Step by Step,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Likelihood-Based Reward Designs for General LLM Reasoning,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/LoRA- Low-Rank Adaptation of Large Language Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Lost in the Middle- How Language Models Use Long Contexts,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Machine Learning for Modular Multiplication,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,"TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Secret recovery (1D LWE) | Dataset of integer pairs (a_i, b_i) with noise | 1D (t) (inferred) | Fixed (inferred) | Static (inferred) | Constructed (inferred) | Secre...",
BIBLIOTHEQUE/05_ML-FNDTNS/Mano- Restriking Manifold Optimization for LLM Training,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Language modeling (LLM pretraining) (inferred) | text tokens (inferred) | 1D (t) (inferred) | Capped (inferred) | Not specified in the paper. | Not specified in the ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Masked Autoencoders Are Scalable Vision Learners (MAE),hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/05_ML-FNDTNS/Mastering diverse control tasks through world models (DreamerV3),hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Megatron-LM- Training Multi-Billion Parameter Language Models Using Model Parallelism,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Mini-ARC- Solving Abstraction and Reasoning Puzzles with Small Transformer Models,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.md:7:| ARC puzzle solving (grid-to-grid transformation prediction) | 2D color grids (training input/output pairs + test input grid) | 2D (x, y) | Fixed | Static (inferred) ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Multi-Game Decision Transformers,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) | TASK-DOMAINS.md:7:| control (Atari game-playing) | observation images (game frames) + target return token + past actions/rewards (trajectory tokens) | 2D (x, y); 1D (t) | Fixed | Static...",
BIBLIOTHEQUE/05_ML-FNDTNS/On neural scaling and the quanta hypothesis,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
"BIBLIOTHEQUE/05_ML-FNDTNS/One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET)",transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x | TASK-DOMAINS.csv:3:in_dimension=2D (x | TASK-DOMAINS.md:7:| Image generation (unconditional) | Gaussian noise image | 2D (x, y) | Fixed (inferred) | Static (inferred) | Constructed (inferred) | Image | 2D (x, y) | Fixed (infe...",
BIBLIOTHEQUE/05_ML-FNDTNS/Open3DIS- Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance,transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z); 3D (x, y, t) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 3D (x, y, z); 3D (x, y, t)",
BIBLIOTHEQUE/05_ML-FNDTNS/OSCAR- Object-Semantics Aligned Pre-training for Vision-Language Tasks,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Parameter-Efficient Transfer Learning for NLP,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Per-Pixel Classification is Not All You Need for Semantic Segmentation (MaskFormer),hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=2D (x | TASK-DOMAINS.csv:3:in_dimension=2D (x | TASK-DOMAINS.csv:4:in_dimension=2D (x,
BIBLIOTHEQUE/05_ML-FNDTNS/Predictability and Surprise in Large Generative Models,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Prefix-Tuning- Optimizing Continuous Prompts for Generation,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/QLoRA- Efficient Finetuning of Quantized LLMs,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/R-PRM- Reasoning-Driven Process Reward Modeling,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t); 0D | TASK-DOMAINS.md:7:| Process-level step evaluation (analysis + correctness judgment / reward scoring) | Mathematical problem and step-by-step reasoning steps (Q, s_1...s_i) | 1D (t) | No...",
BIBLIOTHEQUE/05_ML-FNDTNS/Reinforcement Learning via Self-Distillation,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Release Strategies and the Social Impacts of Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Repeated Examples Help Learn Arithmetic,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Rethinking Visual Intelligence- Insights from Video Pretraining,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/05_ML-FNDTNS/Robust Speech Recognition via Large-Scale Weak Supervision,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling and evaluating sparse autoencoders,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Sparse activation reconstruction | Language-model residual stream activation vectors (token-wise) | 1D (t) (inferred) | Fixed | Static (inferred) | Constructed (infe...,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Embedding Layers in Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Next-word prediction (causal language modeling) | Sequence of tokens | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | Probability di...,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Embeddings Outperforms Scaling Experts in Language Models,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Instructable Agents Across Many Simulated Worlds (SIMA),transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t); 3D (x, y, t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 3D (x, y, t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws and Interpretability of Learning from Repeated Data,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws for Autoregressive Generative Modeling,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Laws for Neural Language Models,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Autoregressive language modeling (next-token prediction) | Text tokens in context | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | N...,
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Transformer-Based Novel View Synthesis with Models Token Disentanglement and Synthetic Data,transformer_yes,multi-D,2D;3D,,2D;3D,2D;3D,2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z) or (x, y, t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.md:7:| Novel view synthesis (generation of unseen scene viewpoints) | Sparse source-view images with source/target Plucker ray-coordinate patches | 3D (x, y, z) or (x, y, t...",
BIBLIOTHEQUE/05_ML-FNDTNS/Scaling Up Vision-Language Learning With Noisy Text Supervision (ALIGN),transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Segment Anything,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/SegPoint- Segment Any Point Cloud via Large Language Model,transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z); 1D (t) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, z); 1D (t)",
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distillation Bridges Distribution Gap in Language Model Fine-Tuning,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distillation Enables Continual Learning,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Self-Distilled Reasoner- On-Policy Self-Distillation for Large Language Models,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Mathematical reasoning generation | Problem statements (tokens) | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | Solution/answer tok...,
BIBLIOTHEQUE/05_ML-FNDTNS/Set Transformer- A Framework for Attention-based Permutation-Invariant Neural Networks,transformer_yes,multi-D,2D;3D,,2D;3D,2D;3D,2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred); 0D (inferred) | TASK-DOMAINS.csv:4:out_dimension=2D (x, y) (inferred); 0D (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Shaping capabilities with token-level data filtering,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Sharpness-Aware Minimization for Efficiently Improving Generalization (SAM),transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.md:7:| Image classification | images | 2D (x, y) (inferred) | Fixed (inferred) | Static (inferred) | Direct (inferred) | labels (class decisions) (inferred) | 0D (inferred)...",
BIBLIOTHEQUE/05_ML-FNDTNS/Sigmoid Loss for Language Image Pre-Training,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y); 1D (t)",
BIBLIOTHEQUE/05_ML-FNDTNS/SIMA 2- A Generalist Embodied Agent for Virtual Worlds,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t); 3D (x, y, t) | TASK-DOMAINS.csv:2:out_dimension=1D (t); 2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 3D (x, y, t)",
BIBLIOTHEQUE/05_ML-FNDTNS/Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=0D; 2D (x, y) (inferred) | TASK-DOMAINS.md:7:| Bag-level classification (binary and multi-class MIL) | Bags of instances (molecular conformations; image segments/patches; images) | 0D; 2D (x, y) (inferred) | Capp...",
BIBLIOTHEQUE/05_ML-FNDTNS/SmolVLM- Redefining small and efficient multimodal models,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Spherical Mask- Coarse-to-Fine 3D Point Cloud Instance Segmentation with Spherical Representation,transformer_yes,3D_only,3D,,3D,3D,3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z) or (x, y, t) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) or (x, y, t); 0D | TASK-DOMAINS.md:7:| 3D point cloud instance segmentation | Point clouds with corresponding color information | 3D (x, y, z) or (x, y, t) | Capped (inferred) | Dynamic (inferred) | Const...",
BIBLIOTHEQUE/05_ML-FNDTNS/Stabilizing Equilibrium Models by Jacobian Regularization,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Streaming 4D Panoptic Segmentation via Dual Threads,hybrid_transformer_yes,multi-D,1D;4D,,1D;4D,1D;4D,1D;4D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:2:out_dimension=4D (x, y, z, t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Supervising strong learners by amplifying weak experts,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Swin Transformer V2- Scaling Up Capacity and Resolution,hybrid_transformer_yes,multi-D,2D;3D,,2D;3D,2D;3D,2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:out_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Synthetic pretraining,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/TableLoRA- Low-rank Adaptation on Table Structure Understanding for Large Language Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Teaching Models to Teach Themselves- Reasoning at the Edge of Learnability,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Teaching Transformers Modular Arithmetic at Scale,transformer_yes,1D_only,1D,,1D;2D,1D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Prediction of modular sum (modular addition) | N-element integer sequence/vector, with elements in $\mathbb{Z}_q$ | 1D (t) (inferred) | Fixed (inferred) | Static (in... | TASK-DOMAINS.md:8:| Prediction of other modular arithmetic functions ($h_{j,k}$) | N-element integer sequence in $\mathbb{Z}_q$ (position-dependent) | 1D (t) (inferred) | Fixed (inferre...",
BIBLIOTHEQUE/05_ML-FNDTNS/Test-time Adaptation of Tiny Recursive Models,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Text and Code Embeddings by Contrastive Pre-Training,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/The Capacity for Moral Self-Correction in Large Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/The Hyperfitting Phenomenon- Sharpening and Stabilizing LLMs for Open-Ended Text Generation,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/The Lessons of Developing Process Reward Models...,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/The LLM ARChitect- Solving ARC-AGI Is a Matter of Perspective,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
