paper_dir,class_code,A_hits,B_hits,C_hits,D_hits,label,confidence,evidence_lines,notes
BIBLIOTHEQUE/05_ML-FNDTNS/Deep reinforcement learning from human preferences,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Reinforcement Learning with Double Q-learning (Double DQN),ML-FNDTNS,0,0,0,53,transformer_no,medium,D@1: ### **Deep Reinforcement Learning with Double Q-learning**,
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Residual Learning (ResNet),ML-FNDTNS,0,0,0,3,transformer_no,medium,D@301: Table 7. Object detection mAP (%) on the PASCAL VOC 2007/2012 test sets using **baseline** Faster R-CNN. See also Table 10 and 11 for bet...,
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Residual Learning for Image Recognition,ML-FNDTNS,0,0,0,3,transformer_no,medium,D@301: Table 7. Object detection mAP (%) on the PASCAL VOC 2007/2012 test sets using **baseline** Faster R-CNN. See also Table 10 and 11 for bet...,
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Speech 2- End-to-End Speech Recognition in English and Mandarin,ML-FNDTNS,0,0,1,55,transformer_no,medium,"D@41: End-to-end speech recognition is an active area of research, showing compelling results when used to re-score the outputs of a DNN-HMM [2...",
BIBLIOTHEQUE/05_ML-FNDTNS/Denoising Diffusion Probabilistic Models,ML-FNDTNS,2,1,0,1,transformer_yes,high,"A@136: | Sparse Transformer [7] | | | 2.80 | L, fixed isotropic $\Sigma$ | $8.06 \pm 0.09$ | 13.22 | | B@160: To represent the reverse process, we use a U-Net backbone similar to an unmasked PixelCNN++ [52, 48] with group normalization throughout ... | D@250: Unfortunately, there are numerous well-known malicious uses of generative models. Sample generation techniques can be employed to produce...",
BIBLIOTHEQUE/05_ML-FNDTNS/Dense Passage Retrieval for Open-Domain Question Answering,ML-FNDTNS,5,2,4,0,transformer_yes,high,"A@27: In this paper, we address the question: can we train a better dense embedding model using only pairs of questions and passages (or answer... | B@209: score is chosen as the final answer. The passage selection model serves as a reranker through cross-attention between the question and th...",
BIBLIOTHEQUE/05_ML-FNDTNS/Density Adaptive Attention is All You Need- Robust Parameter-Efficient Fine-Tuning Across Multiple Modalities,ML-FNDTNS,14,16,3,0,transformer_yes,high,"A@17: We propose the Multi-Head Density Adaptive Attention Mechanism (DAAM), a novel probabilistic attention framework that can be used for Par... | B@21: In recent years, the self-attention mechanism, or its variations that are based on dot-product, has become central to the encoders of Pre...",
BIBLIOTHEQUE/05_ML-FNDTNS/Deterministic Policy Gradient Algorithms,ML-FNDTNS,0,0,0,54,transformer_no,medium,D@1: # **Deterministic Policy Gradient Algorithms**,
BIBLIOTHEQUE/05_ML-FNDTNS/DiffusionDet- Diffusion Model for Object Detection,ML-FNDTNS,2,0,0,35,hybrid_transformer_yes,high,"A@53: In this work, we propose DiffusionDet, which tackles the object detection task with a diffusion model by casting detection as a generativ... | D@37: | DETR [10]<br>Sparse R-CNN [90]<br>DiffusionDet | 66.6 | 66.5 (-0.1) | 61.3 (+0.0)<br>66.5 (-0.1)<br>71.0 (+4.4) | 66.5 (-0.1) |",
BIBLIOTHEQUE/05_ML-FNDTNS/Direct Preference Optimization- Your Language Model is Secretly a Reward Model,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Distributed Prioritized Experience Replay,ML-FNDTNS,0,0,21,22,transformer_no,medium,"D@31: A broad trend in deep learning is that combining more computation (Dean et al., 2012) with more powerful models (Kaiser et al., 2017) and...",
BIBLIOTHEQUE/05_ML-FNDTNS/Distributed Representations of Words and Phrases and their Compositionality,ML-FNDTNS,0,0,1,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Do Latent Tokens Think- A Causal and Adversarial Analysis of Chain-of-Continuous-Thought,ML-FNDTNS,20,0,18,0,transformer_yes,high,"A@9: Latent tokens are gaining attention for enhancing reasoning in large language models (LLMs), yet their internal mechanisms remain unclear...",
BIBLIOTHEQUE/05_ML-FNDTNS/Dota 2 with Large Scale Deep Reinforcement Learning,ML-FNDTNS,0,0,0,26,transformer_no,medium,"D@68: We define a policy ( $\pi$ ) as a function from the history of observations to a probability distribution over actions, which we paramete...",
BIBLIOTHEQUE/05_ML-FNDTNS/Dropout- A Simple Way to Prevent Neural Networks from Overfitting,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Efficient Estimation of Word Representations in Vector Space,ML-FNDTNS,0,0,2,5,transformer_no,medium,"D@87: Recurrent neural network based language model has been proposed to overcome certain limitations of the feedforward NNLM, such as the need...",
BIBLIOTHEQUE/05_ML-FNDTNS/Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM,ML-FNDTNS,46,3,0,0,transformer_yes,high,"A@9: Large language models have led to state-of-the-art accuracies across several tasks. However, training these models efficiently is challen... | B@108: A transformer layer consists of a self-attention block followed by a two-layer multi-layer perceptron (MLP). Further details of the trans...",
BIBLIOTHEQUE/05_ML-FNDTNS/Emergent Complexity via Multi-Agent Competition,ML-FNDTNS,0,0,1,11,transformer_no,medium,"D@23: In more detail, we introduce several multi-agent tasks with competing goals in a 3D world with simulated physics, using the MuJoCo framew...",
BIBLIOTHEQUE/05_ML-FNDTNS/Estimating the Hessian by Back-propagating Curvature,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Evolution Strategies as a Scalable Alternative to Reinforcement Learning,ML-FNDTNS,0,0,0,14,transformer_no,medium,"D@7: We explore the use of Evolution Strategies (ES), a class of black box optimization algorithms, as an alternative to popular MDP-based RL ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Exploiting Similarities among Languages for Machine Translation,ML-FNDTNS,0,0,2,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer (T5),ML-FNDTNS,58,11,16,13,hybrid_transformer_yes,high,"A@1: # Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer | B@53: The primary building block of the Transformer is self-attention (Cheng et al., 2016). Self-attention is a variant of attention (Graves, 2... | D@99: Our goal in this paper is to measure general language learning abilities. As such, we study downstream performance on a diverse set of be...",
BIBLIOTHEQUE/05_ML-FNDTNS/Extensions and Limitations of the Neural GPU,ML-FNDTNS,0,0,0,10,transformer_no,medium,D@38: A recent approach to algorithm learning attempts to use the power of neural networks and their learning algorithm. Neural networks are in...,
BIBLIOTHEQUE/05_ML-FNDTNS/FFJORD- Free-form Continuous Dynamics for Scalable Reversible Generative Models,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Fine-Tuning Language Models from Human Preferences,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/FlashAttention-2- Faster Attention with Better Parallelism and Work Partitioning,ML-FNDTNS,8,40,2,0,transformer_yes,high,"A@13: Scaling Transformers to longer sequence lengths has been a major problem in the last several years, promising to improve performance in l... | B@1: # FLASHATTENTION-2:",
BIBLIOTHEQUE/05_ML-FNDTNS/Flow-based Extremal Mathematical Structure Discovery,ML-FNDTNS,21,0,3,1,transformer_yes,high,"A@5: ABSTRACT. The discovery of extremal structures in mathematics requires navigating vast and nonconvex landscapes where analytical methods ... | D@213: baseline. In practice, we find that $\alpha \in [0.1, 1.0]$ provides a robust operating regime, analogous to the KL penalty coefficient i...",
BIBLIOTHEQUE/05_ML-FNDTNS/Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains,ML-FNDTNS,0,0,6,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/From Kepler to Newton- Inductive Biases Guide Learned World Models in Transformers,ML-FNDTNS,25,0,26,0,transformer_yes,high,A@1: # From Kepler to Newton: Inductive Biases Guide Learned World Models in Transformers,
BIBLIOTHEQUE/05_ML-FNDTNS/Gemini- A Family of Highly Capable Multimodal Models,ML-FNDTNS,30,0,6,0,transformer_yes,high,A@27: The reasoning capabilities of large language models show promise toward building generalist agents that can tackle more complex multi-ste...,
BIBLIOTHEQUE/05_ML-FNDTNS/Generating Long Sequences with Sparse Transformers,ML-FNDTNS,38,23,5,1,transformer_yes,high,"A@1: # **Generating Long Sequences with Sparse Transformers** | B@7: Transformers are powerful sequence models, but require time and memory that grows quadratically with the sequence length. In this paper w... | D@47: It is worth noting that the Gated Pixel CNN (Oord et al., 2016) and WaveNet (Van Den Oord et al., 2016) use multiplicative interactions i...",
BIBLIOTHEQUE/05_ML-FNDTNS/Generative Adversarial Nets (GANs),ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Generative Verifiers- Reward Modeling as Next-Token Prediction,ML-FNDTNS,30,0,20,0,transformer_yes,high,A@9: Verifiers or reward models are often used to enhance the reasoning performance of large language models (LLMs). A common approach is the ...,
BIBLIOTHEQUE/05_ML-FNDTNS/GLIDE- Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,ML-FNDTNS,4,0,2,0,transformer_yes,high,"A@184: For our main experiments, we train a 3.5 billion parameter text-conditional diffusion model at $64 \times 64$ resolution, and another 1.5...",
BIBLIOTHEQUE/05_ML-FNDTNS/GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism,ML-FNDTNS,18,1,0,0,transformer_yes,high,A@37: Scaling up deep neural network capacity has been known as an effective approach to improving model quality for several different machine ... | B@162: Our comparison is based on the performance of a single Transformer [15] trained on all language pairs in this corpus. We scale the archit...,
BIBLIOTHEQUE/05_ML-FNDTNS/GPT-4 Technical Report,ML-FNDTNS,256,0,14,4,hybrid_transformer_yes,high,A@1: # **GPT-4 Technical Report** | D@1280: - 3. Reinforcement learning using Proximal Policy Optimization (PPO): They optimize a policy against the reward model using reinforcement...,
BIBLIOTHEQUE/05_ML-FNDTNS/GPT-4o System Card,ML-FNDTNS,76,0,0,0,transformer_yes,high,A@1: # GPT-40 System Card,
BIBLIOTHEQUE/05_ML-FNDTNS/Grammar as a Foreign Language,ML-FNDTNS,0,0,2,30,transformer_no,medium,"D@45: Figure 1: A schematic outline of a run of our LSTM+A model on the sentence ""Go."". See text for details.",
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking Modular Arithmetic,ML-FNDTNS,3,0,0,0,transformer_yes,high,"A@23: In the original work [11], the authors studied how a shallow transformer learns data distributions that are generated by simple determini...",
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking Modular Polynomials,ML-FNDTNS,3,0,0,0,transformer_yes,high,"A@13: Notably, Gromov (2023) presented an ""analytical solution"" for the weights of a 2-layer MLP network that has a 100% accuracy on modular ad...",
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking- Generalization Beyond Overfitting on Small Algorithmic Datasets,ML-FNDTNS,3,1,3,0,transformer_yes,high,"A@32: All of our experiments used a small transformer trained on datasets of equations of the form $a \circ b = c$ , where each of ""a"", "" $\cir... | B@146: We trained a standard decoder-only transformer Vaswani et al. (2017) with causal attention masking, and calculated loss and accuracy only...",
BIBLIOTHEQUE/05_ML-FNDTNS/Hierarchical Text-Conditional Image Generation with CLIP Latents,ML-FNDTNS,4,2,2,0,transformer_yes,high,A@113: predict the resulting sequence using a Transformer [53] model with a causal attention mask. This results in a threefold reduction in the ... | B@113: predict the resulting sequence using a Transformer [53] model with a causal attention mask. This results in a threefold reduction in the ...,
BIBLIOTHEQUE/05_ML-FNDTNS/High-Dimensional Continuous Control Using Generalized Advantage Estimation (GAE),ML-FNDTNS,0,0,0,28,transformer_no,medium,D@7: Policy gradient methods are an appealing approach in reinforcement learning because they directly optimize the cumulative reward and can ...,
BIBLIOTHEQUE/05_ML-FNDTNS/High-Resolution Image Synthesis with Latent Diffusion Models,ML-FNDTNS,16,10,2,0,transformer_yes,high,"A@15: Image synthesis is one of the computer vision fields with the most spectacular recent development, but also among those with the greatest... | B@11: By decomposing the image formation process into a sequential application of denoising autoencoders, diffusion models (DMs) achieve state-...",
BIBLIOTHEQUE/05_ML-FNDTNS/How Can Self-Attention Networks Recognize Dyck-n Languages-,ML-FNDTNS,5,5,2,9,hybrid_transformer_yes,high,"A@13: There is a growing interest in using formal languages to study fundamental properties of neural architectures, which has led to the extra... | B@1: # How Can Self-Attention Networks Recognize Dyck-n Languages? | D@27: self-attention mechanisms to model hierarchical structures is limited. Shen et al. (2019) show that the performance of Transformers on ta...",
BIBLIOTHEQUE/05_ML-FNDTNS/How Much Position Information Do Convolutional Neural Networks Encode-,ML-FNDTNS,0,0,0,9,transformer_no,medium,"D@15: The classic CNN model is considered to be spatially-agnostic and therefore *capsule* (Sabour et al., 2017) or recurrent networks (Visin e...",
BIBLIOTHEQUE/05_ML-FNDTNS/Human-level Control through Deep Reinforcement Learning (DQN),ML-FNDTNS,0,0,0,32,transformer_no,medium,D@9: We set out to create a single algorithm that would be able to develop a wide range of competencies on a varied range of challenging tasks...,
BIBLIOTHEQUE/05_ML-FNDTNS/Identity Mappings in Deep Residual Networks,ML-FNDTNS,0,0,0,1,uncertain,low,D@230: | All-CNN [14] | 7.25 | All-CNN [14] | 33.71 | | |,
BIBLIOTHEQUE/05_ML-FNDTNS/Image as a Foreign Language- BEiT Pretraining for All Vision and Vision-Language Tasks,ML-FNDTNS,19,4,3,1,transformer_yes,high,"A@9: A big convergence of language, vision, and multimodal pretraining is emerging. In this work, we introduce a general-purpose multimodal fo... | B@56: We use Multiway Transformers [WBDW21] as the backbone model to encode different modalities. As shown in Figure 2, each Multiway Transform... | D@182: Table 7: Results of object detection and instance segmentation on COCO benchmark. BEIT-3 uses Cascade Mask R-CNN [CV21] as the detection ...",
BIBLIOTHEQUE/05_ML-FNDTNS/ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),ML-FNDTNS,0,0,0,12,transformer_no,medium,"D@17: We trained a large, deep convolutional neural network to classify the 1.2 million high-resolution images in the ImageNet LSVRC-2010 conte...",
BIBLIOTHEQUE/05_ML-FNDTNS/IMPALA- Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,ML-FNDTNS,0,0,1,17,transformer_no,medium,D@17: We propose the **Imp**ortance Weighted Actor-Learner Architecture (IMPALA) shown in Figure 1. IMPALA is capable of scaling to thousands o...,
BIBLIOTHEQUE/05_ML-FNDTNS/Improved Techniques for Training GANs,ML-FNDTNS,0,0,0,1,uncertain,low,"D@169: CIFAR-10 is a small, well studied dataset of $32 \times 32$ natural images. We use this data set to study semi-supervised learning, as we...",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving GANs Using Optimal Transport,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Improving Image Generation with Better Captions,ML-FNDTNS,12,1,0,0,transformer_yes,high,"A@19: In parallel, researchers have found ways to build image generators out of stacks of self-attention layers[15, 3, 4]. Decoupling image gen... | B@19: In parallel, researchers have found ways to build image generators out of stacks of self-attention layers[15, 3, 4]. Decoupling image gen...",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving Language Understanding by Generative Pre-Training,ML-FNDTNS,17,2,6,5,hybrid_transformer_yes,high,"A@25: For our model architecture, we use the *Transformer* [62], which has been shown to perform strongly on various tasks such as machine tran... | B@56: In our experiments, we use a multi-layer *Transformer decoder* [34] for the language model, which is a variant of the transformer [62]. T... | D@37: The closest line of work to ours involves pre-training a neural network using a language modeling objective and then fine-tuning it on a ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving neural networks by preventing co-adaptation of feature detectors,ML-FNDTNS,0,0,0,1,uncertain,low,"D@19: We initially explored the effectiveness of dropout using MNIST, a widely used benchmark for machine learning algorithms. It contains 60,0...",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving Variational Inference with Inverse Autoregressive Flow,ML-FNDTNS,0,0,0,1,uncertain,low,"D@147: A numerically stable version, inspired by the LSTM-type update, is where we let the autoregressive network output $[\mathbf{m}_t, \mathbf...",
BIBLIOTHEQUE/05_ML-FNDTNS/In-context Learning and Induction Heads,ML-FNDTNS,54,1,89,1,transformer_yes,high,"A@17: **Abstract:** ""Induction heads"" are attention heads that implement a simple algorithm to complete token sequences like $[A][B] ... [A] \r... | B@835: The ""full-scale models"" are from the same set of models as described in Askell $et\ al.$ [18] The context window and vocabulary size are ... | D@23: In the past, mechanistic interpretability has largely focused on CNN vision models [6], but recently, we <u>presented</u> some very preli...",
BIBLIOTHEQUE/05_ML-FNDTNS/InfoGAN- Interpretable Representation Learning by Information Maximizing Generative Adversarial Nets,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Interactive4D- Interactive 4D LiDAR Segmentation,ML-FNDTNS,0,1,1,0,uncertain,low,"B@67: **Refinement.** (Fig. 2, $\square$ ) This module consists of L consecutive click attention layers that refine both the click queries $Q_K...",
BIBLIOTHEQUE/05_ML-FNDTNS/Intriguing properties of neural networks,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@101: First, we evaluated the above claim using a convolutional neural network trained on MNIST. We used the MNIST test set for $\mathcal{I}$ ....",
BIBLIOTHEQUE/05_ML-FNDTNS/Jacobian-Free Backpropagation for Implicit Networks (JFB),ML-FNDTNS,1,0,0,0,transformer_yes,high,"A@248: Thus, JFB is a zeroth-order approximation to the Neumann series. In particular, JFB resembles the Neumann-RBP approach for recurrent netw...",
BIBLIOTHEQUE/05_ML-FNDTNS/Jukebox- A Generative Model for Music,ML-FNDTNS,12,1,10,1,transformer_yes,high,"A@7: We introduce Jukebox, a model that generates music with singing in the raw audio domain. We tackle the long context of raw audio using a ... | B@92: and train separate models for the top-level prior $p(\mathbf{z}^{top})$ , and upsamplers $p(\mathbf{z}^{middle}|\mathbf{z}^{top})$ and $p... | D@259: Sample-level generation of audio: In recent years, a variety of generative models for raw audio have been introduced. WaveNet (Oord et al...",
BIBLIOTHEQUE/05_ML-FNDTNS/Just-in-Time Learning for Bottom-Up Enumerative Synthesis (PROBE),ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Language Models are Few-Shot Learners,ML-FNDTNS,187,1,9,2,transformer_yes,high,"A@9: Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fin... | B@138: We use the same model and architecture as GPT-2 [RWC<sup>+</sup>19], including the modified initialization, pre-normalization, and revers... | D@803: Several lines of work have focused on increasing parameter count and/or computation in language models as a means to improve generative o...",
BIBLIOTHEQUE/05_ML-FNDTNS/Language Models are Unsupervised Multitask Learners,ML-FNDTNS,47,3,7,6,hybrid_transformer_yes,high,"A@7: Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typical... | B@29: utilize a combination of pre-training and supervised fine-tuning. This approach has a long history with a trend to-wards more flexible fo... | D@27: Figure 1. Zero-shot task performance of WebText LMs as a function of model size on many NLP tasks. Reading Comprehension results are on C...",
BIBLIOTHEQUE/05_ML-FNDTNS/Layer Normalization,ML-FNDTNS,0,0,0,12,transformer_no,medium,"D@13: Despite its simplicity, batch normalization requires running averages of the summed input statistics. In feed-forward networks with fixed...",
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Modular Exponentiation with Transformers,ML-FNDTNS,14,0,3,0,transformer_yes,high,A@1: # **Learning Modular Exponentiation with Transformers**,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation (Cho et al.),ML-FNDTNS,0,0,3,67,transformer_no,medium,D@1: # Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Representations by Back-Propagating Errors,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Semantic String Transformations from Examples,ML-FNDTNS,0,0,3,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning to Execute,ML-FNDTNS,0,0,0,26,transformer_no,medium,D@11: Recurrent Neural Networks (RNNs) with Long Short-Term Memory units (LSTM) are widely used because they are expressive and are easy to tra...,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning to Generate Reviews and Discovering Sentiment,ML-FNDTNS,0,0,1,8,transformer_no,medium,D@43: Figure 1. The mLSTM converges faster and achieves a better result within our time budget compared to a standard LSTM with the same hidden...,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning to Predict by the Methods of Temporal Differences,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Learning to summarize from human feedback,ML-FNDTNS,3,0,8,54,hybrid_transformer_yes,high,"A@33: We follow the works of [3, 73], who fine-tune language models from human feedback using reward learning [35]. We first collect a dataset ... | D@11: As language models become more powerful, training and evaluation are increasingly bottlenecked by the data and metrics used for a particu...",
BIBLIOTHEQUE/05_ML-FNDTNS/Learning Transferable Visual Models From Natural Language Supervision,ML-FNDTNS,25,1,2,1,transformer_yes,high,"A@13: Task-agnostic objectives such as autoregressive and masked language modeling have scaled across many orders of magnitude in compute, mode... | B@108: The text encoder is a Transformer (Vaswani et al., 2017) with the architecture modifications described in Radford et al. (2019). As a bas... | D@65: Our initial approach, similar to VirTex, jointly trained an image CNN and text transformer from scratch to predict the caption of an imag...",
BIBLIOTHEQUE/05_ML-FNDTNS/Least-Squares Policy Iteration (LSPI),ML-FNDTNS,0,0,0,21,transformer_no,medium,D@14: We propose a new approach to reinforcement learning for control problems which combines value-function approximation with linear architec...,
BIBLIOTHEQUE/05_ML-FNDTNS/Length Extrapolation of Transformers- A Survey from the Perspective of Positional Encoding,ML-FNDTNS,41,3,45,0,transformer_yes,high,"A@1: # Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding | B@41: In this section, we follow Dufter et al. (2022) to present a formal description of the encoder layer of the Transformer, as the decoder l...",
BIBLIOTHEQUE/05_ML-FNDTNS/Length Generalization of Causal Transformers without Position Encoding,ML-FNDTNS,12,4,33,0,transformer_yes,high,"A@1: # Length Generalization of Causal Transformers without Position Encoding | B@38: Figure 2: **UniformScale** modifies the temperature hyper-parameter of the SoftMax operator in self-attention layers (Left, NoPE; Right, ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Let's Verify Step by Step,ML-FNDTNS,6,0,3,0,transformer_yes,high,"A@13: In recent years, large language models have greatly improved in their ability to perform complex multi-step reasoning. However, even stat...",
BIBLIOTHEQUE/05_ML-FNDTNS/Likelihood-Based Reward Designs for General LLM Reasoning,ML-FNDTNS,10,0,11,1,hybrid_transformer_yes,high,"A@1: # Likelihood-Based Reward Designs for General LLM Reasoning | D@65: This task is often tackled with RL variants of the basic Reinforce algorithms, such as RLOO (Ahmadian et al., 2024), GRPO (Guo et al., 20...",
BIBLIOTHEQUE/05_ML-FNDTNS/LoRA- Low-Rank Adaptation of Large Language Models,ML-FNDTNS,60,5,0,0,transformer_yes,high,A@1: # LORA: LOW-RANK ADAPTATION OF LARGE LANGUAGE MODELS | B@48: **Terminologies and Conventions** We make frequent references to the Transformer architecture and use the conventional terminologies for ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Lost in the Middle- How Language Models Use Long Contexts,ML-FNDTNS,19,0,12,1,transformer_yes,high,A@21: Handling these use-cases requires language models to successfully operate over long sequences. Existing language models are generally imp... | D@274: The pioneering work of Khandelwal et al. (2018) showed that small LSTM language models make increasingly coarse use of longer-term contex...,
BIBLIOTHEQUE/05_ML-FNDTNS/Machine Learning for Modular Multiplication,ML-FNDTNS,12,0,6,0,transformer_yes,high,"A@5: ABSTRACT. Motivated by cryptographic applications, we investigate two machine learning approaches to modular multiplication: namely circu...",
BIBLIOTHEQUE/05_ML-FNDTNS/Mano- Restriking Manifold Optimization for LLM Training,ML-FNDTNS,29,0,1,0,transformer_yes,high,A@1: # Mano: Restriking Manifold Optimization for LLM Training,
BIBLIOTHEQUE/05_ML-FNDTNS/Masked Autoencoders Are Scalable Vision Learners (MAE),ML-FNDTNS,49,1,15,2,hybrid_transformer_yes,high,"A@11: This paper shows that masked autoencoders (MAE) are scalable self-supervised learners for computer vision. Our MAE approach is simple: we... | B@191: Moreover, by skipping the mask token in the encoder, we greatly reduce training computation. In Table 1c, we reduce the overall training ... | D@277: Table 4. **COCO object detection and segmentation** using a ViT Mask R-CNN baseline. All entries are based on our implementation. Self-su...",
BIBLIOTHEQUE/05_ML-FNDTNS/Mastering diverse control tasks through world models (DreamerV3),ML-FNDTNS,5,0,0,109,hybrid_transformer_yes,high,"A@19: Reinforcement learning has enabled computers to solve tasks through interaction, such as surpassing humans in the games of Go and Dota<su... | D@19: Reinforcement learning has enabled computers to solve tasks through interaction, such as surpassing humans in the games of Go and Dota<su...",
BIBLIOTHEQUE/05_ML-FNDTNS/Maximum a Posteriori Policy Optimisation (MPO),ML-FNDTNS,0,0,0,11,transformer_no,medium,"D@19: Two types of algorithms currently dominate scalable learning for continuous control problems: First, Trust-Region Policy Optimisation (TR...",
BIBLIOTHEQUE/05_ML-FNDTNS/Megatron-LM- Training Multi-Billion Parameter Language Models Using Model Parallelism,ML-FNDTNS,37,7,0,0,transformer_yes,high,A@7: Recent work in language modeling demonstrates that training large transformer models advances the state of the art in Natural Language Pr... | B@45: ### 2.2. Transformer Language Models and Multi-Head Attention,
BIBLIOTHEQUE/05_ML-FNDTNS/Mini-ARC- Solving Abstraction and Reasoning Puzzles with Small Transformer Models,ML-FNDTNS,20,2,5,0,transformer_yes,high,A@1: # Mini-ARC: Solving Abstraction and Reasoning Puzzles with Small Transformer Models | B@69: - 3. A stack of Transformer self-attention encoder layers,
BIBLIOTHEQUE/05_ML-FNDTNS/Move Evaluation in Go Using Deep Convolutional Neural Networks,ML-FNDTNS,0,0,0,24,transformer_no,medium,"D@13: The game of Go is more challenging than other board games, due to the difficulty of constructing a position or move evaluation function. ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Muesli- Combining Improvements in Policy Optimization,ML-FNDTNS,0,0,0,9,transformer_no,medium,D@60: Using the log derivative trick to sample the gradient of the expectation results in the canonical (regularized) policy gradient update (S...,
BIBLIOTHEQUE/05_ML-FNDTNS/Multi-Game Decision Transformers,ML-FNDTNS,28,1,9,11,hybrid_transformer_yes,high,A@1: # **Multi-Game Decision Transformers** | B@149: as additional multi-layer perceptrons (MLPs) or transformer layers on top of the Impala CNN used in C51 and CQL baselines. CPC uses two a... | D@43: A generalist agent for solving a variety of environments has been a goal for artificial intelligence (AI) researchers since the inception...,
BIBLIOTHEQUE/05_ML-FNDTNS/Multi-Scale Context Aggregation by Dilated Convolutions,ML-FNDTNS,0,0,0,10,transformer_no,medium,D@132: Table 3 shows the effect of adding the context module to three different architectures for semantic segmentation. The first architecture ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Multi-task Sequence to Sequence Learning,ML-FNDTNS,0,0,1,6,transformer_no,medium,"D@31: A natural model for sequential data is the recurrent neural network (RNN), which is used by most of the recent *seq2seq* work. These work...",
BIBLIOTHEQUE/05_ML-FNDTNS/MuProp- Unbiased Backpropagation for Stochastic Neural Networks,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@18: Deep neural networks (Krizhevsky et al., 2012; Hinton et al., 2012; Sutskever et al., 2014) are responsible for numerous state-of-the-art...",
BIBLIOTHEQUE/05_ML-FNDTNS/Natural Actor-Critic,ML-FNDTNS,0,0,0,32,transformer_no,medium,D@13: # Natural Actor-Critic,
BIBLIOTHEQUE/05_ML-FNDTNS/Neural Fitted Q Iteration (NFQ),ML-FNDTNS,0,0,0,7,transformer_no,medium,D@31: ## 2.2 Classical Q-Learning,
